,lat,lng
0,-31.980142873836293,115.81717033618932
1,-31.98013510963289,115.81717039376579
2,-31.980127146111606,115.81717224433318
3,-31.980118585344915,115.81717409166258
4,-31.980110124551935,115.8171726504028
5,-31.980102161515923,115.81717081315907
6,-31.980093501444408,115.81717086587851
7,-31.980085140021828,115.81717072087582
8,-31.98007687823196,115.8171698787188
9,-31.98006841717667,115.81717043087045
10,-31.980059955793493,115.81717347478636
11,-31.980049503670987,115.81717590988548
12,-31.98003845460473,115.81717604932346
13,-31.980028799006167,115.81717699368137
14,-31.980018944273333,115.81717833564223
15,-31.980008990065183,115.81717917871055
16,-31.9799992347421,115.81718151791678
17,-31.979989081242298,115.81718395463491
18,-31.97998071932133,115.81718759711391
19,-31.97997454691984,115.81719414191218
20,-31.9799685732985,115.81720298021293
21,-31.979962699073784,115.81721291542961
22,-31.979957521635374,115.81722285442397
23,-31.97995284187525,115.81723299545781
24,-31.97994786353176,115.81724283586095
25,-31.979943482551715,115.81725178246694
26,-31.979938603998324,115.8172597296689
27,-31.979934322703457,115.81726758043828
28,-31.97993073814243,115.81727583366764
29,-31.979927850262786,115.81728488803923
30,-31.979925061989626,115.81729344459762
31,-31.97992207463466,115.8173020000767
32,-31.979919585010432,115.81731035891295
33,-31.97991759295956,115.81731971715328
34,-31.97991649681614,115.8173287812389
35,-31.97991589831165,115.8173383463757
36,-31.97991539930871,115.81734821106389
37,-31.979914999912253,115.8173575779389
38,-31.979914700096042,115.81736664634188
39,-31.9799155947313,115.81737602023257
40,-31.97991638977319,115.81738579226588
41,-31.979917583018032,115.81739526744613
42,-31.97991877622353,115.81740504163811
43,-31.979919471724525,115.81741481313176
44,-31.97991956996699,115.81742468105796
45,-31.9799195687866,115.81743365140935
46,-31.979920563015224,115.81744262715743
47,-31.9799211589622,115.81745249778197
48,-31.979920659933033,115.81746256181131
49,-31.979919961835176,115.81747252509075
50,-31.979919661914042,115.81748239085827
51,-31.979921253256915,115.81749236655006
52,-31.979922446475527,115.81750204107149
53,-31.979921947538166,115.81751140740681
54,-31.979922244980482,115.81752037937721
55,-31.979923637267778,115.81753015464854
56,-31.979924233162293,115.81754042395536
57,-31.979925526052963,115.81754910231072
58,-31.97992671928469,115.81755867716157
59,-31.979928012070435,115.8175681528815
60,-31.97992731403816,115.81757761780808
61,-31.97992651647809,115.81758698252442
62,-31.97992721200532,115.81759655467691
63,-31.97992780789983,115.81760682398374
64,-31.979928403873036,115.81761649526715
65,-31.979929696606323,115.81762636966937
66,-31.979928500908887,115.81763553288587
67,-31.97992491626917,115.81764438413865
68,-31.979924019128863,115.81765404732704
69,-31.979925013278784,115.81766362109855
70,-31.979925708845354,115.81767289423932
71,-31.979927399820934,115.81768217277678
72,-31.97992899134742,115.81769075308058
73,-31.979931379214236,115.81769923803117
74,-31.979935260299488,115.81770693371219
75,-31.979938046369252,115.81771512180973
76,-31.979940633488372,115.81772231212221
77,-31.979943021446992,115.81773009937878
78,-31.979942024870702,115.81773896466292
79,-31.979938141778785,115.81774651857927
80,-31.979932467042453,115.8177533650876
81,-31.97992679224054,115.81776070994877
82,-31.97992061972101,115.81776815178218
83,-31.9799141486837,115.81777479463202
84,-31.979909071166546,115.81778184371949
85,-31.97990518795659,115.81779029467097
86,-31.9799001104132,115.81779754309959
87,-31.97989443578179,115.81780359224332
88,-31.97988975642824,115.81781064348948
89,-31.979886171736062,115.81781989342454
90,-31.979883383266166,115.81782994504151
91,-31.979881490743075,115.81783940349207
92,-31.97987949873155,115.81784846272068
93,-31.979877606260917,115.81785752248895
94,-31.979875216085784,115.81786657955887
95,-31.97987461752883,115.81787654337798
96,-31.979876109435725,115.81788572116552
97,-31.97987630725844,115.81789529061969
98,-31.979875310550998,115.81790515260955
99,-31.979875209921513,115.81791342472727
100,-31.979876701789063,115.81792290152654
101,-31.979877695965218,115.81793227595689
102,-31.979877595178348,115.8179417441215
103,-31.979877992109103,115.81795111531385
104,-31.97987918526214,115.81796128818812
105,-31.97988007979247,115.81797145944336
106,-31.97988047665764,115.81798132898858
107,-31.979880973194874,115.81799020236774
108,-31.97988196741037,115.81799927778638
109,-31.979882762373574,115.81800964784311
110,-31.97988395569711,115.81801852499997
111,-31.979885945295393,115.81802780515642
112,-31.979887934972375,115.81803648728948
113,-31.979888132795093,115.81804605674364
114,-31.97988982381002,115.81805503626939
115,-31.979893007820426,115.8180649209253
116,-31.979895992775255,115.81807460516073
117,-31.97989808180952,115.81808468322146
118,-31.979901166423293,115.8180934709614
119,-31.97990524649854,115.81810186541577
120,-31.97991042148435,115.8181105648182
121,-31.97991529771631,115.81812025930732
122,-31.97992037330549,115.8181278617938
123,-31.979924752108367,115.8181354605026
124,-31.979927836892642,115.81814295252514
125,-31.979931021047317,115.81815174080477
126,-31.97993559908938,115.81815814454606
127,-31.979941271897736,115.81816594961167
128,-31.979944754727576,115.81817434082802
129,-31.97994684385365,115.81818372119474
130,-31.979949132035287,115.81819330198194
131,-31.97995171876094,115.81820348241153
132,-31.9799535091725,115.81821355885324
133,-31.979954702338652,115.81822363205694
134,-31.979956592448495,115.81823251299146
135,-31.97995917939711,115.81824099902136
136,-31.979960472104164,115.81825107276474
137,-31.979961068064256,115.81826084371869
138,-31.979963256757458,115.81827002528394
139,-31.979966739561064,115.81827861584144
140,-31.979969923623933,115.81828810181507
141,-31.97997270968058,115.81829638958317
142,-31.979976092890826,115.81830537828328
143,-31.979978580232963,115.81831436212637
144,-31.97997977345158,115.81832403664778
145,-31.979982260767486,115.81833321983201
146,-31.97998544497462,115.81834160942937
147,-31.97998763361536,115.8183511896769
148,-31.97998952368586,115.81836036962312
149,-31.97999260836521,115.81836865901023
150,-31.979995991667263,115.81837695001634
151,-31.979999972424576,115.81838364953133
152,-31.980005247108675,115.81839115342657
153,-31.98000992458671,115.81839835507209
154,-31.980014004596384,115.8184072478793
155,-31.980017686481798,115.81841583951613
156,-31.980021766517694,115.81842453298222
157,-31.9800253487704,115.81843382177337
158,-31.980028433475983,115.81844191181933
159,-31.980032414102137,115.81844960804004
160,-31.980036394702058,115.81845750360186
161,-31.980039877374516,115.81846709086507
162,-31.980043360230585,115.81847528274028
163,-31.980048037577472,115.81848348109152
164,-31.98005261537034,115.81849177857363
165,-31.9800565959178,115.81850007281777
166,-31.980059680938155,115.81850577077003
167,-31.980062865473176,115.8185116686031
168,-31.980066945587776,115.81851976404575
169,-31.98007102583352,115.81852686278269
170,-31.980075305095493,115.81853446095182
171,-31.98008038050106,115.81854345882627
172,-31.980085455972205,115.8185519583479
173,-31.980090133489586,115.81855886098171
174,-31.980094512253118,115.81856675870222
175,-31.980098393207214,115.81857545108895
176,-31.98010177631254,115.81858523715363
177,-31.980105358617703,115.81859412726251
178,-31.980108443100324,115.81860391170818
179,-31.980111228986473,115.8186134951937
180,-31.98011371628926,115.81862277804852
181,-31.980117298791154,115.81863017309884
182,-31.98012008486092,115.81863836119636
183,-31.98012097962733,115.81864673838135
184,-31.980121476190792,115.81865541241937
185,-31.980123664962683,115.81866399596119
186,-31.98012605275081,115.81867307893518
187,-31.980128141955568,115.81868186127845
188,-31.980132321729105,115.81868906022564
189,-31.980136700545092,115.81869655926387
190,-31.9801406811319,115.81870455449628
191,-31.98014446274183,115.81871175128478
192,-31.980146453035232,115.81871574890098
193,-31.980150932126588,115.8187176669269
194,-31.98015511270017,115.81871878596924
195,-31.9801569043577,115.81871939370669
196,-31.98015640665319,115.81871939100834
197,-31.98015600845024,115.81871968786139
